Original,Corrected
"stere, of wie überhaupt burd eine gute Begleitung, alfo bejonders aud bet denberänderten Fachahmungen burd) einen gefäidten Borgang und eine richtige adfolge aufmuntern, und zuweilen ni ein Feuer und in eine gute Dispofition bringen, worinnen et borher nicht war. Nut muf der 2ecompagnift, wenn et mit den Beränderungen anfänget, feinem Watpieler bernach die hinlängliche Stetheit laffen, richtig nadzufolgen.
Wtan muß hierben mit dem Glängenden und Gimplen vernünftig abwedfeln und über-
baupt fo verfabren, wei im lesten Paragraph des erften Sheils diejes Berjud)s gezeiget worden ift. Der 2iccompagnift, als UInfänger ber Mach- abmung, muß auf bie 2lit bon Toten, welde in der Sauptftimme, wenn fie feine Paufen bat, zugleid mit der anfangenden Plachahmung bortommen, febr moGL2ldt baber , bamit er eine Beränderung erfinde, welde fid binlänglic unterjdheidet. Ebenfalls bey dem Ende der Deränderungen muf man mit ber
Begleitung fogleich zur Einfalt wieder gurid tebten, samit bie Sauptftimme ihre","stere, ob wie überhaupt durch eine gute Begleitung, also besonders auch bei den veränderten Fassungen durch einen geschickten Vortrag und eine richtige Abfolge aufmuntern, und zuweilen in ein Feuer und in eine gute Disposition bringen, worin er vorher nicht war. Nun muss der Accompagnist, wenn er mit den Veränderungen anfängt, seinem Mitspieler danach die hinlängliche Sicherheit lassen, richtig nachzufolgen. 

Man muss hierbei mit dem Klangenden und Simplen vernünftig abwechseln und überhaupt so verfahren, wie im letzten Paragraph des ersten Teils dieses Versuchs gezeigt worden ist. Der Accompagnist, als Anfänger der Nachahmung, muss auf die Zeit von Tönen, welche in der Hauptstimme, wenn sie keine Pausen hat, zugleich mit der anfangenden Nachahmung vorkommen, sehr aufmerksam dabei sein, damit er eine Veränderung erfinde, welche sich hinlänglich unterscheidet. Ebenfalls bei dem Ende der Veränderungen muss man mit der Begleitung sogleich zur Einfalt wieder zurückkehren, damit die Hauptstimme ihre"
" Nachfolge, wenn fie zumahl aus vielen Figuren beftebet, [293] ausnebmend endigen tönne.
Es ift eben of unrecht, wenn bende zugleid lärmen, als wenn fie bende zugleic einfahlafen wollen. Betde bürfen alfo weder unwifend noch bosbaft fetn. Im erftern Fale wird einer dem andern obne böfe 2lbficht, mi zwenten aber mit Fleiß das Geinige berderben.
5. § . Wenn Der Clabierift mehrere Bäffe bey fid bat, fo mufs er mit feinen Beränderungengurüc balten, wenn er nicht gewiß weiß, daß ihm bie andern zugleid nachfolgen werden.
6. S. Juweilen erlauben gewiffe Gätse, welche mit blofen Ferzen bes gleitet werden, baß bie Mittelftimme die beränderte Padahmung mit Dem

 96 Drey und Dreyfigites Capitel.
Baffe zugleich in Ferzen nachmachet (a). Denn Die Sauptftimme, [tatt Des einfachen Gates bey (b), Dei Beränderung bon (c) anbringet: fo tann weder Der Baf noch die Mittelftimme juft ni bezfelben Fort[chreitung nachfolgen; man begnüget fich alsbenn eine Machahmung zu erfinden, welche diefelben Figuren bat ","Nachfolge, wenn sie zumal aus vielen Figuren bestehet, [293] ausnehmend endigen Töne.
Es ist eben so unrecht, wenn beider zugleich lärmen, als wenn sie beide zugleich einschlafen wollen. Beide dürfen also weder unwissend noch boshaft sein. Im ersten Falle wird einer dem andern ohne böse Absicht, im zweiten aber mit Fleiß das Seine verderben.
§ 5. Wenn der Clavierist mehrere Bässe bei sich hat, so muss er mit seinen Veränderungen zurückhalten, wenn er nicht gewiss weiß, dass ihm die andern zugleich nachfolgen werden.
§ 6. Zuweilen erlauben gewisse Sätze, welche mit bloßen Fersen begleitet werden, dass die Mittelstimme die veränderte Nachahmung mit dem Bass zugleich in Fersen nachmachet (a). Denn die Hauptstimme, statt des einfachen Satzes bei (b), die Veränderung von (c) anbringet: so kann weder der Bass noch die Mittelstimme just in derselben Fortschreitung nachfolgen; man begnüget sich alsdann, eine Nachahmung zu erfinden, welche dieselben Figuren hat.

96 Drei und Dreißigstes Kapitel."
"unò bie fimplen Grundnoten berbehält, ob fie gleid etroas tueniges vere anbert if.
(a)
tr
[294]
ad. (b)
ftatt der gewöhnliden Begleitung, eine Mittelftimme erfinden, welche bie Saupt-
[timme zierlic) nadalmet. Die Gäte, wober viele Geptimen- und Geitquinten- accorde bortom
men,
indemdie Grundnoten [teigen und fallen, find hierzudie bequemften. D ie Beitmaaffe darf aber nicht fehr gefchwind febn, fonft fällt m a n in dent Sehler der Sindeutlid)teit:
兩而;
7. 8. Mer eine gute Einficht in der Gestunft befiget, tann auch zuweilen,

 Bon einigen Dorfaiten bey der Begleitung
97
Bier und dretßigites Capitel.
Bon einigen Dorfichten bey der Begleitung.
1. §. Da wir das mehrefte bon biefer Materie am gebörigen Dite bereits abgehandelt haben: fo wollen wit nur noch einige wenige Unmertungen in Diefem Capitel über geriffe Fälle maden, welde einen vorfichtigen Begleitet etfordern.
2. §. Beb (a) nimmt man, ftatt der 6, lieber 7 6 zum b, damit teine Quinten borgeben, wenn bie Saupttimme das Liccompagne","und die simplen Grundnoten beibehält, ob sie gleich etwas Tunliches wäre andert ist.
(a) [294]
ad. (b) statt der gewöhnlichen Begleitung eine Mittelstimme erfinden, welche die Hauptstimme zierlich nachahmet. Die Takte, wobei viele Septimen- und Sekundquintenakkorde vorkommen,
indem die Grundnoten steigen und fallen, sind hierzu die bequemsten. Die Beitmaße darf aber nicht sehr geschwind sein, sonst fällt man in den Fehler der Undeutlichkeit:
兩而;
7. 8. Wer eine gute Einsicht in der Kunst besitzt, kann auch zuweilen,

Von einigen Vorschriften bei der Begleitung
97
Vier und dreißigstes Kapitel.
Von einigen Vorschriften bei der Begleitung.
1. §. Da wir das meiste von dieser Materie am gehörigen Orte bereits abgehandelt haben: so wollen wir nur noch einige wenige Anmerkungen in diesem Kapitel über gewisse Fälle machen, welche einen vorsichtigen Begleiter erfordern.
2. §. Bei (a) nimmt man, statt der 6, lieber 7 6 zum b, damit keine Quinten vorgehen, wenn die Hauptstimme das Accompagnement"
"ment überfteiget. Bey (b) läfet man zum e die Gerte weg, und nimmt bafür g, und nadber zum Duncte • Beh (c) läffet man zum erftern a ebenfale bie Gegte aus, und greift bafür die [296] doppelte Eerz und Quinte. In benden Fällen (b)
Die Begleitung nad ben Gignaturen eingeridtet würde.
im 1/tenSapitel, g o des eriten 2bidnittes ein äbnlides Erempel an- geführet. Que Lufgaben, wobet Sortichreitungen in Duarten bortommen, find
wegen der Quinten gefäbrlic), wenn die Lage berändert wird. Denn man fann, [Bad, Berjuco, dJ

 98 Bier und brebfigites Eapitel.
of nimmt man freblic die beften und ficherften Pagen: zuweilen aber ift es unmöglich. Wan juchet alsbenn mit guter Gelegenbeit aus der Gefalt, und
in eine andere Lage zu tommen, indem man burd die Berdoppelung einer Eon- fonanz die fünfte Etimme ergreifet, ober den Unfa)lag der Sarmonie wiederholet, wenn die Grundnote etwas lang ift, oder eine Solge bon einet, oder son mehrern burdgebenden Toten bey fid bat. Denn man aber alle biefe Sülfs- mi","ment übersteiget. Bei (b) lässt man zum e die Terz weg, und nimmt dafür g, und nachher zum Punkte • Bei (c) lässt man zum ersten a ebenfalls die Terz aus, und greift dafür die [296] doppelte Terz und Quinte. In beiden Fällen (b)
Die Begleitung nach den Signaturen eingerichtet würde.
im 1/ten Kapitel, wo des ersten Abschnittes ein ähnliches Beispiel angeführt. Nur Aufgaben, wobei Fortschreitungen in Quarten vorkommen, sind
wegen der Quinten gefährlich, wenn die Lage verändert wird. Denn man kann,

98 Vier und dreißigstes Kapitel.
oft nimmt man freilich die besten und sichersten Lagen: zuweilen aber ist es unmöglich. Man suchet alsdann mit guter Gelegenheit aus der Gestalt, und
in eine andere Lage zu kommen, indem man durch die Verdoppelung einer Konsonanz die fünfte Stimme ergreifet, oder den Umschlag der Harmonie wiederholet, wenn die Grundnote etwas lang ist, oder eine Folge von einer oder von mehreren durchgehenden Tönen bei sich hat. Denn man aber alle diese Hilfs-"
"ttel nicht brauchen tann, fo müffen diejenigen Siffern wegbleiben, welde Febler Deranlafen. Die Siguren bet (d) fno fehr bequem, die Sarmonie ni einer meoungBeBesteeurtereneye fr oteaibetee gleung6fc es vorzuziehen, wenn man bie Poten der Sauptftimme nicht in der Oberftimme mit fpielen will. Die erftere Begleitung, wenn fie die Sauptftimme überfteiget, mit welcher fle ni der gleichen ewegung fortgehet, berurfacet Quinten. B ey (t), to Dei Grundftimme in gebrochener Sarmonie Diffonanzen auflöfet, muß man ni Der Begleitung eine 2lenderung bornehmen, damit die nad[d)lagende edelbaften Detasen bermieden werden. Man läffet baber die in den Gignaturen
bes erften Sactes tecenden Diffonanzen mit gutemGewijen aus. Bey (g) bleiben die 2Inhänge weg, welche man zuweilen am Ende eines Güdes in der Grundftimme findet, wenn bey dem Edluftriller vorher angehalten wor [297/den ift. Der 2lccompagnift böret alsdenn mit der Sauptftimme zugleid auf.
beffer.
(d)

 Bon der Rothwendigteit der Bezifferung. 99 ","Titel nicht brauchen kann, so müssen diejenigen Ziffern wegbleiben, welche Fehler veranlassen. Die Figuren bei (d) sind sehr bequem, die Harmonie in einer mehr oder weniger bestellten Art auszubauen. Es ist vorzuziehen, wenn man die Noten der Hauptstimme nicht in der Oberstimme mitspielen will. Die erste Begleitung, wenn sie die Hauptstimme übersteigt, mit welcher sie in der gleichen Bewegung fortgeht, verursacht Quinten. Bei (t), wo die Grundstimme in gebrochener Harmonie Dissonanzen auflöst, muß man in der Begleitung eine Änderung vornehmen, damit die nachschlagenden ungeladenen Noten vermieden werden. Man lässt daher die in den Signaturen des ersten Satzes liegenden Dissonanzen mit gutem Gewissen aus. Bei (g) bleiben die Anhänge weg, welche man zuweilen am Ende eines Stückes in der Grundstimme findet, wenn bei dem Schluss-Triller vorher angehalten worden ist. Der Begleiter hört also mit der Hauptstimme zugleich auf.

Von der Notwendigkeit der Bezifferung. "
"(g)
[298] 3.§. Denn ein Unifonus einfällt, of tann man dei 2uflöfung der Diffonanzen abbrechen, indem man diefen Unifonum fogleid mit beden Sänden ergreifet. Ein geübtes Dhr erfetet diefe Lluflöfung ni der Einbildung. 4. 8. Es ift war giemlich gemühnlia), aber eben nicht notwendig, bag Dei Zusführung eines Gtüdes ben dem Unfange unordentlich gebet. Es pflegen daber aud) bie geubteften 2lu8fubret, ber guten Orbnung und des gleichen Bortrages wegen, die 2let bon Doten, die jeder bet bem linfange borzutragen bat, borher gerne einander zu zeigen. Folglic würde es jebt gut feyn, weit zu Diejem Durchfeben zuweilen feine 3eit da ift, und ein einziges Stüd oft vielerlet Sempo annimmt, bag wenigftens der Unfang der Sauptftimme in Fleinen Noten über Dei anfangenden Grundnoten gefetet würde. Diefe Dorfidt würde auch nad Generalpaufen und nach Fermaten bon febr gutem u s e n
febn, befonders wenn ber Baß nachber mit der Saupt[timme nicht zugleid) mieder anfänget.
?
Fünf und brenBigites Capitel.
Bon","(g)
[298] 3.§. Denn ein Unisonus einfällt, so kann man die Auflösung der Dissonanzen abbrechen, indem man diesen Unisonus sogleich mit beiden Händen ergreifet. Ein geübtes Ohr ersetzet diese Auflösung in der Einbildung. 4. §. Es ist zwar ziemlich gewöhnlich, aber eben nicht notwendig, dass die Ausführung eines Stückes bei dem Anfange unordentlich gehe. Es pflegen daher auch die geübtesten Ausführenden, der guten Ordnung und des gleichen Vortrages wegen, die Stelle von Noten, die jeder bei dem Anfange vorzutragen hat, vorher gerne einander zu zeigen. Folglich würde es jetzt gut sein, weil zu diesem Durchsehen zuweilen keine Zeit da ist, und ein einziges Stück oft vielerlei Tempo annimmt, dass wenigstens der Anfang der Hauptstimme in kleinen Noten über den anfangenden Grundnoten gesetzt würde. Diese Vorsicht würde auch nach Generalpausen und nach Fermaten von sehr gutem Nutzen sein, besonders wenn der Bass nachher mit der Hauptstimme nicht zugleich wieder anfänget.
  
Fünfunddreißigstes Kapitel.
Von"
" der Nothwendigteit Der Bezifferung.
1. §. D i r fehen allenthalben aus dem Inhalte unfeter Unleitung, Daß Ju einem guten 2ccompagnement nod feht biel geböre, wenn aud dei Be- sifferung of ift, mie fie feyn foll. Es erhellet bieraus das läderlide Der 2ln- forderung, unbezifferte Bäffe zu accompagniren, und man fiebet zugleid, bie Sinmöglidteit ein, bie lettern bergeftallt abzufertigen, bas man nur einiger- maffen zufrieden febn tönnte. Man [299] bat feit einiger 3eit angefangen,
mit mehrerm Fleiffe, als bother, bie fleinen wefentlichen Manieren, und bie nöthigen Seiden des guten Gortrages in der Gareibatt zu bemerten; möd)ten Dod auch die unbezifferten Bäffe nach und nach rarer werden, und die Elabie-
riften weniger Gutwilligteit zeigen, als Dasjenige gleid zu thun, toas man bon

 100 Fünf und dreyfigftes CapiteL
ihnen fordert! Jeder anderer Ripienift Darf fidh befchweren, wenn man ihm eine unrichtig gedriebene Gtumme borleget, da bingegen der 2ccompagnit zufrieden feyn muß, wenn feine","der Notwendigkeit der Bezifferung.
1. §. Dir sehen allenthalben aus dem Inhalte unserer Anleitung, daß zu einem guten Accompagnement noch sehr viel gehöre, wenn auch die Bezifferung oft ist, wie sie sein soll. Es erhellt hieraus das Lächerliche der Anforderung, unbezifferte Bässe zu accompagnieren, und man sieht zugleich die Unmöglichkeit ein, die Letzteren dergestalt abzufertigen, daß man nur einigermaßen zufrieden sein könnte. Man [299] hat seit einiger Zeit angefangen,
mit mehrerm Fleiße, als vorher, die kleinen wesentlichen Manieren und die nötigen Seiten des guten Vortrages in der Schreibart zu bemerken; möchten doch auch die unbezifferten Bässe nach und nach rarer werden, und die Clavieristen weniger Gutwilligkeit zeigen, als Dasjenige gleich zu tun, was man von

100 Fünfunddreißigstes Kapitel
ihnen fordert! Jeder anderer Ripienist darf sich beschweren, wenn man ihm eine unrichtig geschriebene Stimme vorleget, da hingegen der Accompagnist zufrieden sein muß, wenn seine"
" Grunditimme entweder gar nicht, oder fo fparjam beziffert ift, daß die wenigen 3iffern, welche man nod, etwa findet, medrentheile Da angebracht find, too fe leichtzu errathen waren. Rurz zu fagen: Man verlanget mit Sinrecht bon einem Begleiter, Daß et den Generalbaß mit, und ohne siffern aus dem Grunde gelernet haben foll.
2.§. Es baben fid einige tegen der 2ibfertigung unbegifferter Bäffe viele Mühe gegeben, und ich lann nicht läugnen, daß id zuweilen felbft Berjude von diefer 2lit angeftellet babe: allein, je mebr ic bierüber nacdacte, defto reicher fand cih bie Sarmonie an Bendungen, welde burd) die Feinigteiten bes Befahmads noch ale Zage bergeftalt bermebret werden, daß man unmöglid, ben freten Bedanten eines Componiften, weltem die gütige Platur Das Sin- erichöpfliche feines Metiers einfehen läffet, burd feft gefeste Regeln gleidjam Ochranten feten, und feine willührliden Wendungen errathen Ean.
Sins gefett, es lieffe fich etwas bierinnenbeftimmen: fol man etwa mit dem 2lus- ren","Grundstimme entweder gar nicht, oder so sparsam beziffert ist, daß die wenigen Ziffern, welche man noch etwa findet, mehrenteils da angebracht sind, wo sie leicht zu erraten waren. Kurz zu sagen: Man verlangt mit Recht von einem Begleiter, daß er den Generalbaß mit und ohne Ziffern aus dem Grunde gelernt haben soll.
2. §. Es haben sich einige gegen die Ausfertigung unbezifferter Bässe viele Mühe gegeben, und ich kann nicht leugnen, daß ich zuweilen selbst Versuche von dieser Art angestellt habe: allein, je mehr ich hierüber nachdachte, desto reicher fand ich die Harmonie an Wendungen, welche durch die Feinigkeiten des Geschmacks noch alle Tage vermehrt werden, daß man unmöglich den freien Gedanken eines Komponisten, welchem die gütige Natur das Unerschöpfliche seines Metiers einsehen lässet, durch fest gesetzte Regeln gleichsam Schranken setzen, und seine willkürlichen Wendungen erraten kann.
Eins gesetzt, es ließe sich etwas hierinnen bestimmen: soll man etwa mit dem Ausführen"
"diglernen diefer Regeln, beren Unzabl nicht geringe feon tann, und die bennod) nicht allezeit Gtid balten, das Gedächtniß mattern? Gol man nadber auf bas neue, wenn man nun endlid die gegebenen Gegein gelernet bat, biele Jeit und Wühe verfahmenden, um die Qusnahmen wider die Regeln zu bebalten?
Sind [300] befen alen ohngeacht würde ber Fluten fehr geringe feyn, weil der gefchidtete Wufter fellen tann, wo nur zio göglidteiten da feyn, gejameige bey mehrern.
3. §. Es bleibet alfo unumftößlich wahr, daß zur guten 2lusfülrung
eines Gtüdes eine richtig bezifferte Grundftimme unentbehrlic) fey. Seder
Componift, welcher wünichet, baß feine Urbeit of gut als möglid, ausgeführet werde, muß aud alle Writtel ergreifen, Diefen Endzwed zu erlangen. Er muß fich alfo überhaupt in der Gareibart of deutlic) ertlären, daß er au einem jeden Orte berftanden werden tönne. Sierzu gehöret bornemlich mit eine richtige Bezifferung ber Grundftimme. Diejes tit das wenigite, was man mit Hecht woern tann, weil wir","diglernen dieser Regeln, deren Anzahl nicht gering sein kann, und die dennoch nicht allezeit Stetigkeit halten, das Gedächtnis mattern? Soll man nachher auf das neue, wenn man nun endlich die gegebenen Regeln gelernt hat, diese Zeit und Mühe verschwenden, um die Ausnahmen wider die Regeln zu behalten?
Sind dessen allen ungeachtet würde der Nutzen sehr gering sein, weil der geschickte Spieler erkennen kann, wo nur zwei Möglichkeiten da sein, genausowenig bei mehreren.
3. §. Es bleibet also unumstößlich wahr, daß zur guten Ausführung
eines Stückes eine richtig bezifferte Grundstimme unentbehrlich sei. Jeder
Komponist, welcher wünscht, dass seine Arbeit so gut als möglich ausgeführt werde, muss auch alle Mittel ergreifen, diesen Endzweck zu erlangen. Er muss sich also überhaupt in der Schreibart so deutlich erklären, dass er an einem jeden Orte verstanden werden könne. Hierzu gehöret vornehmlich eine richtige Bezifferung der Grundstimme. Dieses ist das wenigste, was man mit Recht fordern kann, weil wir"
" fabon öfter angefüßret baben, baß zur genauen 2n- deutung des 2lecompagnements nod) etwas mehreres, als Siffern, gehöre. Mit baben fogar ermiejen, bag es noch bier und da an Seiden feble. Ein fiderer Beteis, Daß eine Begleitung mit gar feiner Bezeichnung nidt anders ale (c)lecht ausfallen tann. Die Eignaturen find einmal da; man bediene fid, alfo Diefer nüslichen Erfindung, und martre weder ich mit dem 2lusdenten unzu- länglicher Regeln, nod) feine Gchüler mit ber Erlernung biefer letteren. Der zu bequem oder zu unwifend ift, feine Bäfe fo, wie es die gute 21us- nahme erfordert, felbft zu bezeichnen, der laffe foldes dutc einen gefahidten 2ccompagniften Derrid)ten.

 Bon buragehenden Poten. 101
4.S. Bey der Bezifferung muf man groat nicht ale Sleinigteiten be rübten, und aus einem Generalbaß ein Sandftüd machen: indeffen muß bennod) Das ""Nothwendige und Wefentliche nicht bergefjen werden. Biele geben mit ibren Bezeichnungen zu fparfam um, weil fie das 2luge des 2lecompagniften nicht z","haben öfter angeführet haben, dass zur genauen Andeutung des Accompagnements noch etwas mehreres, als Ziffern, gehöre. Mit haben sogar ermessen, dass es noch hier und da an Seiden fehle. Ein sicherer Beweis, dass eine Begleitung mit gar keiner Bezeichnung nicht anders als schlecht ausfallen kann. Die Signaturen sind einmal da; man bediene sich also dieser nützlichen Erfindung und martere weder sich mit dem Ausdenken unzulänglicher Regeln, noch seine Schüler mit der Erlernung dieser Letzteren. Der zu bequem oder zu unwissend ist, seine Basse so, wie es die gute Ausnahme erfordert, selbst zu bezeichnen, der lasse solches durch einen geschickten Accompagnisten verrichten.

Von durchgehenden Noten. 101
4.S. Bei der Bezifferung muss man nicht alle Kleinigkeiten berücksichtigen und aus einem Generalbass ein Sandstück machen; indessen muss dennoch das Notwendige und Wesentliche nicht vergessen werden. Viele gehen mit ihren Bezeichnungen zu sparsam um, weil sie das Auge des Accompagnisten nicht zu"
"u ftart bemüben wollen: allein ein geübter Elavierfpieler liberfiebet gar leicht eine Grundftimme, tenn fie auch etwas mehr Undeutun-(301]gen, als insgemein Mrobe ift, über fid) bat, weil er lange bor der Erlernung des 2lccom- pagnements grey Gufteme, manchmal mit bielen Poten, Beresungsgeichen und andern über einander ftehenden Characteren bat überfeben müfen.
9Bas ift aber leichter zu überfelen, jene Guitememit of Dielen bertnüpften Gawierig- teiten, oder bres, böditens viet siffern liber einander,welche man obnedem bet der Lehre des Generalbaffes tennen lernen muß, welche bey bem fleißigen Iccompagniten alle Lugenblide bortommen, und folglic of unbetannt und fürchterlich nicht feyn tönnen, als mancher bequemer 2ecompagnift vielleid)t glaubet?
Geds und diebBigites Capitel.
Don duragehenden Doten.
1.§. Dei Unbeutung der buragebenden Moten ift mi ben mebreften
Fällen eben fo nöthig, als bie Lindeutung der Siffern. Weil nun die Bezifferer
aud, bierinnen nicht genau genug verfabten, f o ","zu stark bemühen wollen: allein ein geübter Clavierspieler übersieht gar leicht eine Grundstimme, wenn sie auch etwas mehr Undeutungen, als insgemein Probe ist, über sich hat, weil er lange vor der Erlernung des Accompagne-ments grey Systeme, manchmal mit vielen Noten, Versetzungszeichen und anderen über einander stehenden Charakteren hat umgehen müssen.
Was ist aber leichter zu übersehen, jene Systeme mit so vielen verknüpften Schwierigkeiten, oder drei, höchstens vier Ziffern übereinander, welche man obnedem bei der Lehre des Generalbasses kennen lernen muß, welche bei dem fleißigen Accompagnisten alle Augenblicke vorkommen, und folglich oft unbekannt und fürchterlich nicht sein können, als mancher bequemer Accompagnist vielleicht glaubet?
Sechs und dreißigstes Kapitel.
Von durchgehenden Noten.
1.§. Die Bedeutung der durchgehenden Noten ist in den meisten
Fällen ebenso nötig, als die Deutung der Ziffern. Weil nun die Bezifferer
auch hierin nicht genau genug verfuhren, so..."
"muß man nad und nach burd eine fleißige Sibung mi 2ccompagniten, und durch ein aufmertfam Dbr bie durchgebenden l o t e n beraus fuden lernen (a). Man erräth biefe lettern zuweilen aus der borher gegangenen Sarmonie, welde zu den folgenden Toten paffet (b), und aus der nöthigen Borbereitung und Zuflöfung (a) und (c):
[302] 2. §. Man bat gwar einige Regeln, die duragebenden Noten ju extennen: fie find aber auch nicht immer zuverläßig. Da man alfo auf diefe
Regeln nicht alezeit ficher bauen tann, da fid, dei burdgebenben Toten nicht

 102 Gedys und DrehBigites Capitel.
allezeit gewif errathen laffen, und da man weiß, daß es ungleid mehr [alecte als gute Begleiter giebet: fo bandelt man burd eine genaue Unbeutung am ficherften, und thut allenfalls lieber zu biel, als zu wenig. Ein guter Ziccom- pagnift läffet fid) burd einige überflügige Queerftrice nidt verwirren, und einem Unfänger ift dadurch fehr geholfen. Man muß den Franzofen die Gerechtigteit wiederfahren laffen, dag fie ibre burag","muß man nach und nach durch eine fleißige Übung mit accompagnirten, und durch ein aufmerksames Ohr die durchgehenden Noten herausfinden lernen (a). Man errät diese Lettern zuweilen aus der vorher gegangenen Harmonie, welche zu den folgenden Noten paßt (b), und aus der nötigen Vorbereitung und Schlüsse (a) und (c):
[302] 2. §. Man hat zwar einige Regeln, die durchgehenden Noten zu erkennen: sie sind aber auch nicht immer zuverlässig. Da man also auf diese Regeln nicht allezeit sicher bauen kann, da sich die durchgehenden Noten nicht

102 Sechsunddreißigstes Kapitel.
allezeit gewiß erraten lassen, und da man weiß, daß es ungleich mehr schlechte als gute Begleiter gibt: so handelt man durch eine genaue Übung am sichersten, und tut allenfalls lieber zu viel, als zu wenig. Ein guter Accompagnist läßt sich durch einige überflüssige Querstriche nicht verwirren, und einem Anfänger ist dadurch sehr geholfen. Man muß den Franzosen die Gerechtigkeit widerfahren lassen, daß sie ihre durch"
"ebenden Noten mit groffem Fleiffe be zeichnen. Gie brauchen hierzu insgemein einen farägen Gtrid):
3. §. Die burdgehenden Poten tommen im Gange, und mi Eprunge Dor, und find mebrentheils etwas gefähwinde. Wenn fie einzeln portommen, fo findet man fie nicht angedeutet.Don den gebenden und fpringenden Toten bey (a) gebet bie gweyte burc). Man fann hierbey zur Regel annemen, dag auf jene tein Eprung folgen barf, und bey diejen die Detave der burdgebenden Tote faon norber in der redten Sand liegen muß. Folglich baben die Noten bet) (b), wo dieje gween Simftände feblen, allerfeits thre eigene Begleitung. Denn bie Grunbftimme, anftatt in die Sinterfecunde zu {teigen (c), ni bie Geptime berauf fpringet (d): of fann diefe lestere ebenfalls burdgeten, obne bag die Dctase babon foon gelegen bat. Ein Eprung in Dei Detave wird bier nicht als ein Eprung, fondern als eine wiederholte Note angefeten. Denn mebr als eine burdgehende Note Hintereinander bortommt, of [303] ift die 2in- deutung burd unfer","ebenden Noten mit großem Fleiße bezeichnen. Sie brauchen hierzu insgemein einen farbigen Strich.
3. §. Die durchgehenden Noten kommen im Gange und mit Sprüngen vor, und sind mehrenteils etwas geschwinde. Wenn sie einzeln vorkommen, so findet man sie nicht angedeutet. Von den gebenden und springenden Noten bei (a) gibt die zweite durch. Man kann hierbei zur Regel annehmen, dass auf jene kein Sprung folgen darf, und bei diesen die Oktave der durchgehenden Note schon vorher in der rechten Hand liegen muss. Folglich haben die Noten bei (b), wo diese zwei Umstände fehlen, allerseits ihre eigene Begleitung. Denn die Grundstimme, anstatt in die Untersekunde zu steigen (c), in die Septime heraufspringt (d): so kann diese letztere ebenfalls durchgehen, ohne dass die Oktave davon schon gelegen hat. Ein Sprung in die Oktave wird hier nicht als ein Sprung, sondern als eine wiederholte Note angesehen. Denn mehr als eine durchgehende Note hintereinander vorkommt, so [303] ist die Andeutung durch unser"
"n Queerftrid eben of nothwendig, als wenn langfame Toten burchgeben folen (e).
(a) (b)
(c) (d) (e)
4. 8. Sinter den Grundnoten pflegen ibt eigenes 2Iccompagnement zu
b aber:DieSmetpiertbeitnoteni n2llabreseunbOrengreyt eiltacte,t emn der lettere fein langfames Zempo bat, und die gefawindeften Poten 2lchtteile find; die Bierthetle im langfamen Dreywentheiltacte, in der fogenannten fa)lediten Cactart vom 2illegretto an, wo feine gefawindere Troten als 3wen- undoreißigtheile bortommen, bis zum Prefto, und mi Drey- und Gedsviertbeil-

 Bon duragehenden toten. 103
tacte bet gefahwinder 3eitmaaffe; die 2 l c ) t t e i l e im Bierviertheiltacte vom Libagio an, bis an bas Lilegretto, und in langfamen * & 1, u n d Sacten. Wenn dieje lettern Zactarten ein gefahwindes Sempo baben, fo bat jede Sigut, melche dren 2lattheile ober drey Diertheile enthält, ihr eigenes 2lecom- pagnement.
5.§. Proten, welche ihre eigene Begleitung zu haben [deinen, und dennod) duragehen follen, müffen borzüglich einen Q","n Querstrich ebenso notwendig, als wenn langsame Takte durchgehen sollen (e).
(a) (b)
(c) (d) (e)
4. § 8. Hinter den Grundnoten pflegen ist eigenes Accompagnement zu
üben, aber: Die Sechzehntelnoten in Alla Breve und Orgel-Takte, wenn der letztere sein langsames Tempo hat, und die geschwindesten Noten Sechzehntel sind; die Viertel im langsamen Dreivierteltakte, in der sogenannten falschen Taktart vom Allegretto an, wo keine geschwinder als Zweiunddreißigstel vorkommen, bis zum Presto, und im Drei- und Sechsviertel-

Vom durchgehenden Takt. 103
Takte bei geschwinder Zeitmaße; die Sechzehntel im Vier-Vierteltakt vom Adagio an, bis an das Allegretto, und in langsamen und schnellen Taktarten. Wenn diese letzteren Taktarten ein geschwindes Tempo haben, so hat jede Figur, welche drei Achtel oder drei Vierzehntel enthält, ihr eigenes Accompagnement.
5. §. Noten, welche ihre eigene Begleitung zu haben scheinen, und dennoch durchgehen sollen, müssen vorzüglich einen

"
